raw_name,grade,status,condition,stock,auction_price,scan_order,scanned_at,scan_marker,scan_session_id,screen_no,screen_item_no,source_bounds,source_hash,source_text
samsung GALAXY S21 FE 256GB,AI,Terdaftar,Produk Only,1,1200000,63,2026-07-07 17:49:16,S0016-I06-O0063,20260707-174824,16,6,"[0,1323][1200,1574]",98fd8313579e,"samsung GALAXY S21 FE 256GB AI (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,200,000"
samsung GALAXY S21 FE 256GB,AF,Terdaftar,Produk Only,1,1990000,64,2026-07-07 17:49:16,S0016-I07-O0064,20260707-174824,16,7,"[0,1574][1200,1825]",88b92d0f0031,"samsung GALAXY S21 FE 256GB AF (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,990,000"
samsung GALAXY S21 FE 256GB,AF,Terdaftar,Produk Only,1,1990000,65,2026-07-07 17:49:16,S0016-I08-O0065,20260707-174824,16,8,"[0,1825][1200,1929]",88b92d0f0031,"samsung GALAXY S21 FE 256GB AF (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,990,000"
samsung GALAXY S21 FE 256GB,AF,Terdaftar,Produk Only,1,1990000,66,2026-07-07 17:49:20,S0017-I05-O0066,20260707-174824,17,5,"[0,1042][1200,1293]",88b92d0f0031,"samsung GALAXY S21 FE 256GB AF (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,990,000"
samsung GALAXY S21 256GB,AI,Terdaftar,Produk Only,1,1340000,67,2026-07-07 17:49:20,S0017-I06-O0067,20260707-174824,17,6,"[0,1293][1200,1544]",9649954e02fc,"samsung GALAXY S21 256GB AI (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,340,000"
samsung GALAXY S21 FE 256GB,AE,Terdaftar,Produk Only,1,2070000,68,2026-07-07 17:49:20,S0017-I07-O0068,20260707-174824,17,7,"[0,1544][1200,1795]",5ebcca5898ab,"samsung GALAXY S21 FE 256GB AE (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 2,070,000"
samsung GALAXY S21 256GB,AE,Terdaftar,Produk Only,1,2410000,69,2026-07-07 17:49:20,S0017-I08-O0069,20260707-174824,17,8,"[0,1795][1200,1929]",6de7058034cc,"samsung GALAXY S21 256GB AE (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 2,410,000"
samsung GALAXY S21 256GB,AG,Terdaftar,Produk Only,1,1950000,70,2026-07-07 17:49:23,S0018-I04-O0070,20260707-174824,18,4,"[0,1012][1200,1263]",c11b7b81354e,"samsung GALAXY S21 256GB AG (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,950,000"
samsung GALAXY S21 256GB,AI,Terdaftar,Produk Only,1,1340000,71,2026-07-07 17:49:23,S0018-I05-O0071,20260707-174824,18,5,"[0,1263][1200,1515]",9649954e02fc,"samsung GALAXY S21 256GB AI (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,340,000"
samsung GALAXY S20 PLUS 128GB,AI,Terdaftar,Produk Only,1,950000,72,2026-07-07 17:49:23,S0018-I06-O0072,20260707-174824,18,6,"[0,1515][1200,1766]",dc04042da31d,"samsung GALAXY S20 PLUS 128GB AI (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 950,000"
